"date","batt"
2021-08-15,5.09
2021-08-15,5.14
2021-08-15,5.16
2021-08-16,5.14
2021-08-16,5.16
2021-08-16,5.14
2021-08-16,5.16
2021-08-16,4.96
2021-08-16,5.07
2021-08-17,5.04
2021-08-17,5.05
2021-08-17,5.02
2021-08-17,5.12
2021-08-17,5.11
2021-08-18,5.05
2021-08-18,5.04
2021-08-18,5.11
2021-08-18,5.18
2021-08-18,5.11
2021-08-19,5.09
2021-08-19,5.07
2021-08-19,5.09
2021-08-19,5.09
2021-08-19,5.11
2021-08-20,5.12
2021-08-20,5.09
2021-08-20,5.12
2021-08-20,5.18
2021-08-20,5.16
2021-08-21,5.09
2021-08-21,5.11
2021-08-21,5.14
2021-08-21,5.21
2021-08-21,5.11
2021-08-22,5.05
2021-08-22,5.09
2021-08-22,5.11
2021-08-22,5.2
2021-08-23,5.07
2021-08-23,5.09
2021-08-23,5.16
2021-08-23,5.21
2021-08-24,5.11
2021-08-24,5.09
2021-08-24,5.09
2021-08-24,5.12
2021-08-24,5.07
2021-08-25,5.07
2021-08-25,5.11
2021-08-25,5.09
2021-08-25,5.14
2021-08-25,5.12
2021-08-26,5.11
2021-08-26,5.11
2021-08-26,5.09
2021-08-26,5.11
2021-08-26,5.12
2021-08-27,5.04
2021-08-27,5.02
2021-08-27,5.07
2021-08-27,5.21
2021-08-27,5.14
2021-08-28,5.05
2021-08-28,5.09
2021-08-28,5.11
2021-08-28,5.14
2021-08-28,5.07
2021-08-29,5.09
2021-08-29,5.12
2021-08-29,5.09
2021-08-29,5.18
2021-08-29,5.16
2021-08-30,5.11
2021-08-30,5.11
2021-08-30,5.12
2021-08-30,5.12
2021-08-30,5.14
2021-08-31,5.12
2021-08-31,5.11
2021-08-31,5.11
2021-08-31,5.16
2021-08-31,5.18
2021-09-01,5.09
2021-09-01,5.14
2021-09-01,5.11
2021-09-01,5.16
2021-09-01,5.16
2021-09-02,5.11
2021-09-02,5.14
2021-09-02,5.12
2021-09-02,5.2
2021-09-02,5.23
2021-09-03,5.18
2021-09-03,5.12
2021-09-03,5.14
2021-09-03,5.11
2021-09-04,5.05
2021-09-04,5.09
2021-09-04,5.09
2021-09-04,5.05
2021-09-04,5.05
2021-09-05,5.05
2021-09-05,5.09
2021-09-05,5.12
2021-09-05,5.09
2021-09-06,5.11
2021-09-06,5.05
2021-09-06,5.05
2021-09-07,5.09
2021-09-07,5.09
2021-09-07,5.09
2021-09-07,5.12
2021-09-07,5.11
2021-09-08,5.07
2021-09-08,5.05
2021-09-08,5.05
2021-09-08,5.18
2021-09-08,5.16
2021-09-09,5.12
2021-09-09,5.12
2021-09-09,5.12
2021-09-09,5.18
2021-09-09,5.16
2021-09-10,5.09
2021-09-10,5.09
2021-09-10,5.12
2021-09-10,5.12
2021-09-10,5.11
2021-09-11,5.07
2021-09-11,5.05
2021-09-11,5.07
2021-09-11,5.11
2021-09-11,5.07
2021-09-12,5.05
2021-09-12,5.12
2021-09-12,5.14
2021-09-12,5.12
2021-09-12,5.12
2021-09-13,5.09
2021-09-13,5.11
2021-09-13,5.11
2021-09-13,5.12
2021-09-13,5.09
2021-09-14,5.11
2021-09-14,5.07
2021-09-14,5.09
2021-09-14,5.21
2021-09-14,5.16
2021-09-15,5.11
2021-09-15,5.05
2021-09-15,5.11
2021-09-15,5.12
2021-09-15,5.11
2021-09-16,5.05
2021-09-16,5.05
2021-09-16,5.04
